accession	strain	virus	date	region	country	division	city	db	segment	authors	url	title	journal	paper_url	genbank_accession_rev	updated	ambiguous_strain_names	notes
ON586853	H_468	zika	2016-07-11	North America	Mexico	Mexico	Mexico	genbank	genome	Gutierrez-Ortega et al	https://www.ncbi.nlm.nih.gov/nuccore/ON586853	Analysis of the complete genome sequences of Zika virus isolated from two mosquito species and a human serum in Mexico	Unpublished		ON586853.1	2022-06-21	"H_468,H468"	
OM666891	MCl_21_H_11953_RNA_7996	zika	2021-08-20	South Asia	India	India	India	genbank	genome	Yadav et al	https://www.ncbi.nlm.nih.gov/nuccore/OM666891	Direct Submission	" Pune, National Institute of Virology, Pashan,Submitted (11-FEB-2022) Maximum Containment Laboratory, India, Maharashtra 411021"		OM666891.1	2022-03-26		
OM666892	MCL_21_H_8900_RNA_7139	zika	2021-07-22	South Asia	India	India	India	genbank	genome	Yadav et al	https://www.ncbi.nlm.nih.gov/nuccore/OM666892	Direct Submission	" Pune, National Institute of Virology, Pashan,Submitted (14-FEB-2022) Maximum Containment Laboratory, India, Maharashtra 411021"		OM666892.1	2022-03-26		
OM666893	MCL_21_H_8901_RNA_7140	zika	2021-07-22	South Asia	India	India	India	genbank	genome	Yadav et al	https://www.ncbi.nlm.nih.gov/nuccore/OM666893	Direct Submission	" Pune, National Institute of Virology, Pashan,Submitted (14-FEB-2022) Maximum Containment Laboratory, India, Maharashtra 411021"		OM666893.1	2022-03-26		
OM522327	V584	zika	2021-09-16	North America	Mexico	Mexico	Morelos	genbank	genome	Rodriguez-Maldonado et al	https://www.ncbi.nlm.nih.gov/nuccore/OM522327	Direct Submission	" Mexico City,Submitted (03-FEB-2022) InDRE, Mexico City 01480, Secretaria de Salud, Mexico, Francisco de P. Miranda 177"		OM522327.1	2022-03-02	"V584,584"	
OL423647	GO10	zika	2016-04-20	South America	Brazil	Goais	Goiania	genbank	genome	Giovanetti et al	https://www.ncbi.nlm.nih.gov/nuccore/OL423647	Direct Submission	" Avenida Brasil, Fundacao Oswaldo Cruz, Rio de Janeiro 21040360, Brazil, Rio de Janeiro,Submitted (09-NOV-2021) Laboratorio de Flavivirus, 4365"		OL423647.1	2021-12-25		
OL423649	GO14	zika	2016-04-29	South America	Brazil	Goais	Jatai	genbank	genome	Giovanetti et al	https://www.ncbi.nlm.nih.gov/nuccore/OL423649	Direct Submission	" Avenida Brasil, Fundacao Oswaldo Cruz, Rio de Janeiro 21040360, Brazil, Rio de Janeiro,Submitted (09-NOV-2021) Laboratorio de Flavivirus, 4365"		OL423649.1	2021-12-25		
OL423648	GO15	zika	2016-05-01	South America	Brazil	Goais	Goiania	genbank	genome	Giovanetti et al	https://www.ncbi.nlm.nih.gov/nuccore/OL423648	Direct Submission	" Avenida Brasil, Fundacao Oswaldo Cruz, Rio de Janeiro 21040360, Brazil, Rio de Janeiro,Submitted (09-NOV-2021) Laboratorio de Flavivirus, 4365"		OL423648.1	2021-12-25		
OL423650	GO18	zika	2016-06-02	South America	Brazil	Goais	Aparecida de Goiania	genbank	genome	Giovanetti et al	https://www.ncbi.nlm.nih.gov/nuccore/OL423650	Direct Submission	" Avenida Brasil, Fundacao Oswaldo Cruz, Rio de Janeiro 21040360, Brazil, Rio de Janeiro,Submitted (09-NOV-2021) Laboratorio de Flavivirus, 4365"		OL423650.1	2021-12-25		
OL423651	GO19	zika	2016-07-20	South America	Brazil	Goais	Goianira	genbank	genome	Giovanetti et al	https://www.ncbi.nlm.nih.gov/nuccore/OL423651	Direct Submission	" Avenida Brasil, Fundacao Oswaldo Cruz, Rio de Janeiro 21040360, Brazil, Rio de Janeiro,Submitted (09-NOV-2021) Laboratorio de Flavivirus, 4365"		OL423651.1	2021-12-25		
